
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
238	Otago C		3rd	2nd	4th	2nd	3rd	4th	2nd	4th	4th	8	1333	0	3	2	0
239	TCD Hist B		4th	4th	1st	4th	2nd	3rd	2nd	4th	4th	8	1316	1	2	1	0
240	Hong Kong C		4th	3rd	3rd	4th	3rd	4th	3rd	1st	3rd	8	1306	1	0	5	0
241	Fordham A		4th	4th	4th	1st	4th	1st	4th	4th	2nd	8	1298	2	1	0	0
242	Colgate A		4th	4th	2nd	2nd	4th	4th	4th	3rd	1st	8	1295	1	2	1	0
243	BGU B	ESL	4th	4th	2nd	3rd	4th	2nd	3rd	4th	2nd	8	1295	0	3	2	1
244	Copenhagen B		4th	4th	4th	3rd	3rd	3rd	4th	2nd	1st	8	1293	1	1	3	0
245	Alneelain A	ESL, EFL	4th	3rd	3rd	—	4th	2nd	3rd	3rd	2nd	8	1178	0	2	4	0
246	Middlebury C		4th	4th	4th	3rd	4th	1st	2nd	3rd	4th	7	1323	1	1	2	2
247	Tokyo C	ESL	3rd	4th	2nd	4th	4th	1st	4th	4th	3rd	7	1320	1	1	2	0
248	Chulalongkorn B		4th	4th	1st	4th	4th	4th	2nd	2nd	4th	7	1312	1	2	0	0
249	UQaM A	ESL	3rd	2nd	4th	4th	4th	3rd	1st	4th	4th	7	1292	1	1	2	0
250	Belgrade A		4th	3rd	4th	4th	3rd	3rd	4th	1st	3rd	7	1268	1	0	4	0
